t;PPR3_05folio;PPR1_06folio;PPR2_06folio;PPR3_06folio;PPR1_07folio;PPR2_07folio;PPR3_07folio;PPR1_08folio;PPR2_08folio;PPR3_08folio;PPR4_08folio;PPR1_09folio;PPR2_09folio;PPR3_09folio;PPR1_10folio;PPR2_10folio;PPR3_10folio;PPR1_11folio;PPR2_11folio;PPR3_11folio;PPR1_12folio;PPR2_12folio;PPR3_12folio;PPR1_13folio;PPR2_13folio;PPR3_13folio;PPR4_13folio;PPR1_14folio;PPR2_14folio;PPR3_14folio;PPR4_14folio;PPR1_15folio;PPR2_15folio;PPR3_05gap;PPR1_06gap;PPR2_06gap;PPR3_06gap;PPR1_07gap;PPR2_07gap;PPR3_07gap;PPR1_08gap;PPR2_08gap;PPR3_08gap;PPR4_08gap;PPR1_09gap;PPR2_09gap;PPR3_09gap;PPR1_10gap;PPR2_10gap;PPR3_10gap;PPR1_11gap;PPR2_11gap;PPR3_11gap;PPR1_12gap;PPR2_12gap;PPR3_12gap;PPR1_13gap;PPR2_13gap;PPR3_13gap;PPR4_13gap;PPR1_14gap;PPR2_14gap;PPR3_14gap;PPR4_14gap;PPR1_15gap;PPR2_15gap;PPR3_05cpi;PPR1_06cpi;PPR2_06cpi;PPR4_06cpi;PPR1_07cpi;PPR2_07cpi;PPR4_07cpi;PPR1_08cpi;PPR2_08cpi;PPR3_08cpi;PPR4_08cpi;PPR1_09cpi;PPR2_09cpi;PPR3_09cpi;PPR1_10cpi;PPR2_10cpi;PPR3_10cpi;PPR1_11cpi;PPR2_11cpi;PPR3_11cpi;PPR1_12cpi;PPR2_12cpi;PPR3_12cpi;PPR1_13cpi;PPR2_13cpi;PPR3_13cpi;PPR4_13cpi;PPR1_14cpi;PPR2_14cpi;PPR3_14cpi;PPR4_14cpi;PPR1_15cpi;PPR2_15cpi;PPR3_05jae;PPR1_06jae;PPR2_06jae;PPR3_06jae;PPR1_07jae;PPR2_07jae;PPR3_07jae;PPR1_08jae;PPR2_08xe;PPR3_08xe;PPR4_08xe;PPR1_09xe;PPR2_09xe;PPR3_09xe;PPR1_10xe;PPR2_10xe;PPR3_10xe;PPR1_11xe;PPR2_11xe;PPR3_11xe;PPR1_12xe;PPR2_12xe;PPR3_12xe;PPR1_13xe;PPR2_13xe;PPR3_13xe;PPR4_13xe;PPR1_14xe;PPR2_14xe;PPR3_14xe;PPR4_14xe;PPR1_15xe;PPR2_15xe;Foliorente;Produksjonsgap;CPI;CPI-jae;CPI handelspartnere (20), sesongjustert;I44;Arbeidsledighet;BNP Norge, fate priser sesongjuster;BNP Fastlandsnorge, faste priser sesongjunster;K2 husholdningel andel av BNP;K2 husholdninger, chained;Boligprisindeks;Kreditt Gap mot trend ved ensidig HP-filter³;Kreditt Gap mot trend ved utvidet HP-filter²;Kreditt Gap mot snitt siste 10 år;Boligpris Gap mot trend med ensidig HP-filter⁴;Boligpris Gap mot trend med utvidet HP-filter³;BoligprisGap mot snitt (rekursivt);NæringseiendomGap mot trend ved ensidig HP-filter³;NæringseiendomGap mot trend ved utvidet HP-filter²;NæringseiendomGap mot snitt (rekursivt);Kreditt/GDP (sum k2 husholdninger og k3 ikke-finansielle foretak i FLN) ;Gjeld (endring) husholdninger, firekvartalsvekst. ;Gjeldsvekst;Boligprisvekst
2015-03-31;;;;;;;;;;;;;;;;;;;;;2.983315;2.9886730168;2.7515969967;2.08;1.7194;1.82;1.5734;1.5982;1.4284;1.50;1.23;1.25;;;;;;;;;;;;;;;;;;;;;;0;0.1143144742;0.1995711783;0.27;0.19447;-0.1732;-0.51011;-0.75845;-0.8101;-0.72;-0.94;-0.75;;;;;;;;;;;;;;;;;;;;;;2.215499;2.378589874;2.3247862006;1.79;1.7132323082;2.17;1.8;1.9361808995;1.9076844028;2.38;2.12;2.00;;;;;;;;;;;;;;;;;;;;;;2.187512;2.3294911233;2.3176386403;1.82;1.7461427058;2.07;1.94;2.0248787103;2.0525502991;2.32;2.39;2.39;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-06-30;;;;;;;;;;;;;;;;;;;;;3.133876;3.0786283828;2.8843458198;2.29;1.874;1.92;1.6263;1.6902;1.4386;1.50;1.13;1.16;1.22;;;;;;;;;;;;;;;;;;;;;0;0.044534117;0.1660525972;0.2;0.13667;-0.14894;-0.49401;-0.72043;-0.82465;-0.83;-1.08;-0.86;-0.90;;;;;;;;;;;;;;;;;;;;;2.215499;2.4063298192;2.3593182877;1.85;1.7658463364;2.08;1.96;1.998954517;2.0729115749;2.56;2.57;2.33;2.01;;;;;;;;;;;;;;;;;;;;;2.203067;2.3751929723;2.361846599;1.88;1.7658463364;2.01;1.93;2.0259401947;2.0998494068;2.37;2.58;2.59;2.35;;;;;;;;;;;;;;;;;;;;;;;;;
2015-09-30;;;;;;;;;;;;;;;;;;;;;3.282906;3.1451721164;2.9886076143;2.47;2.0314;2.03;1.7039;1.7825;1.4609;1.50;1.13;1.00;0.99;;;;;;;;;;;;;;;;;;;;;0;0.000766589;0.1629164355;0.13;0.083786;-0.12188;-0.46713;-0.67681;-0.78769;-0.77;-1.14;-1.02;-1.05;;;;;;;;;;;;;;;;;;;;;2.235909;2.4289241499;2.3908153064;1.92;1.8026759556;1.96;2.04;2.0656322046;1.9594480829;1.86;2.30;2.12;1.62;;;;;;;;;;;;;;;;;;;;;2.234316;2.4118254481;2.3996866837;1.95;1.8026759556;2;1.95;2.1159406625;2.1447726162;2.00;2.60;2.60;2.40;;;;;;;;;;;;;;;;;;;;;;;;;
2015-12-31;;;;;;;;;;;;;;;;;;;;;3.443883;3.2022576918;3.0487161062;2.62;2.1816;2.16;1.7968;1.8728;1.4889;1.50;1.13;0.98;0.83;;;;;;;;;;;;;;;;;;;;;0;-0.0265919659;0.1986483214;0.08;0.027811;-0.10419;-0.45983;-0.62998;-0.76474;-0.77;-1.16;-1.03;-1.14;;;;;;;;;;;;;;;;;;;;;2.246054;2.4144299903;2.3892139718;1.96;1.8176759556;2.01;1.98;2.4068032997;2.0238367505;2.16;2.79;2.57;2.07;;;;;;;;;;;;;;;;;;;;;2.253388;2.4105386992;2.4041641645;2;1.8176759556;2.01;1.98;2.1721151596;2.173177918;2.31;2.89;2.67;2.39;;;;;;;;;;;;;;;;;;;;;;;;;
2016-03-31;;;;;;;;;;;;;;;;;;;;;;;;2.71;2.3208;2.28;1.9151;1.9631;1.5406;1.52;1.13;0.95;0.83;;;;;;;;;;;;;;;;;;;;;;;;0;-0.046114;-0.12728;-0.43671;-0.55047;-0.65251;-0.65;-1.07;-0.98;-1.33;;;;;;;;;;;;;;;;;;;;;;;;2;1.8326759556;2.04;2.02;2.1766142197;1.9675035751;1.92;2.65;2.27;2.28;;;;;;;;;;;;;;;;;;;;;;;;2.02;1.8326759556;2.04;2.02;2.2218940889;2.221537316;2.21;2.84;2.57;2.31;;;;;;;;;;;;;;;;;;;;;;;;;
2016-06-30;;;;;;;;;;;;;;;;;;;;;;;;2.77;2.4422;2.42;2.041;2.0523;1.6047;1.55;1.13;0.96;0.85;;;;;;;;;;;;;;;;;;;;;;;;-0.02;-0.05;-0.13877;-0.40808;-0.46902;-0.5632;-0.58;-1.01;-0.99;-1.36;;;;;;;;;;;;;;;;;;;;;;;;2.02;1.8476759556;2.07;2.05;2.2540444506;2.2774423024;2.17;2.78;2.33;2.26;;;;;;;;;;;;;;;;;;;;;;;;2.04;1.8476759556;2.07;2.05;2.2479600704;2.2558234698;2.17;2.81;2.41;2.16;;;;;;;;;;;;;;;;;;;;;;;;;
2016-09-30;;;;;;;;;;;;;;;;;;;;;;;;2.81;2.5462;2.55;2.1727;2.1387;1.6765;1.61;1.17;0.97;0.89;;;;;;;;;;;;;;;;;;;;;;;;-0.03;-0.03;-0.1398;-0.3469;-0.39648;-0.48898;-0.48;-0.90;-0.90;-1.32;;;;;;;;;;;;;;;;;;;;;;;;2.05;1.8626759556;2.12;2.12;2.4471486266;2.4263920845;2.26;2.81;2.51;2.31;;;;;;;;;;;;;;;;;;;;;;;;2.07;1.8626759556;2.12;2.12;2.2898472666;2.2777627213;2.15;2.74;2.29;2.08;;;;;;;;;;;;;;;;;;;;;;;;;
2016-12-31;;;;;;;;;;;;;;;;;;;;;;;;2.83;2.6375;2.68;2.3057;2.2217;1.7524;1.69;1.24;0.99;0.91;;;;;;;;;;;;;;;;;;;;;;;;0;-0.01;-0.14302;-0.30582;-0.3318;-0.43593;-0.42;-0.82;-0.86;-1.30;;;;;;;;;;;;;;;;;;;;;;;;2.07;1.8776759556;2.18;2.18;2.3076805596;2.2871944226;2.15;2.68;2.16;2.08;;;;;;;;;;;;;;;;;;;;;;;;2.1;1.8776759556;2.18;2.18;2.3076805596;2.2871944226;2.15;2.68;2.22;1.99;;;;;;;;;;;;;;;;;;;;;;;;;
2017-03-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.2943;1.8341;1.76;1.32;1.00;0.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.31767;-0.36683;-0.36;-0.77;-0.79;-1.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.3264123832;2.295187886;2.15;2.63;2.39;1.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.3264123832;2.295187886;2.15;2.63;2.17;1.97;;;;;;;;;;;;;;;;;;;;;;;;;
2017-06-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.3604;1.9185;1.85;1.42;1.02;1.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.31199;-0.31782;-0.28;-0.75;-0.77;-1.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.3271556652;2.2834708217;2.15;2.59;2.42;2.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.3271556652;2.2834708217;2.15;2.59;2.15;1.97;;;;;;;;;;;;;;;;;;;;;;;;;
2017-09-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.4215;2.0116;1.94;1.53;1.04;1.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.3;-0.24037;-0.22;-0.70;-0.71;-1.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.3521712639;2.2956766217;2.16;2.56;2.13;2.20;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.3521712639;2.2956766217;2.16;2.56;2.13;1.98;;;;;;;;;;;;;;;;;;;;;;;;;
2017-12-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.4793;2.1123;2.02;1.64;1.08;1.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.29;-0.1687;-0.18;-0.65;-0.59;-0.90;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.357138592;2.2993409712;2.17;2.54;2.11;2.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.357138592;2.2993409712;2.17;2.54;2.11;2.00;;;;;;;;;;;;;;;;;;;;;;;;;
