t;PPR3_05folio;PPR1_06folio;PPR2_06folio;PPR3_06folio;PPR1_07folio;PPR2_07folio;PPR3_07folio;PPR1_08folio;PPR2_08folio;PPR3_08folio;PPR4_08folio;PPR1_09folio;PPR2_09folio;PPR3_09folio;PPR1_10folio;PPR2_10folio;PPR3_10folio;PPR1_11folio;PPR2_11folio;PPR3_11folio;PPR1_12folio;PPR2_12folio;PPR3_12folio;PPR1_13folio;PPR2_13folio;PPR3_13folio;PPR4_13folio;PPR1_14folio;PPR2_14folio;PPR3_14folio;PPR4_14folio;PPR1_15folio;PPR2_15folio;PPR3_15folio;PPR4_15folio;PPR1_16folio;PPR3_05gap;PPR1_06gap;PPR2_06gap;PPR3_06gap;PPR1_07gap;PPR2_07gap;PPR3_07gap;PPR1_08gap;PPR2_08gap;PPR3_08gap;PPR4_08gap;PPR1_09gap;PPR2_09gap;PPR3_09gap;PPR1_10gap;PPR2_10gap;PPR3_10gap;PPR1_11gap;PPR2_11gap;PPR3_11gap;PPR1_12gap;PPR2_12gap;PPR3_12gap;PPR1_13gap;PPR2_13gap;PPR3_13gap;PPR4_13gap;PPR1_14gap;PPR2_14gap;PPR3_14gap;PPR4_14gap;PPR1_15gap;PPR2_15gap;PPR3_15gap;PPR4_gap;PPR1_16gap;PPR2_06cpi;PPR3_06cpi;PPR1_07cpi;PPR2_07cpi;PPR3_07cpi;PPR1_08cpi;PPR2_08cpi;PPR3_08cpi;PPR4_08cpi;PPR1_09cpi;PPR2_09cpi;PPR3_09cpi;PPR1_10cpi;PPR2_10cpi;PPR3_10cpi;PPR1_11cpi;PPR2_11cpi;PPR3_11cpi;PPR1_12cpi;PPR2_12cpi;PPR3_12cpi;PPR1_13cpi;PPR2_13cpi;PPR3_13cpi;PPR4_13cpi;PPR1_14cpi;PPR2_14cpi;PPR3_14cpi;PPR4_14cpi;PPR1_15cpi;PPR2_15cpi;PPR3_15cpi;PPR4_15cpi;PPR1_16cpi;PPR3_05jae;PPR1_06jae;PPR2_06jae;PPR3_06jae;PPR1_07jae;PPR2_07jae;PPR3_07jae;PPR1_08jae;PPR2_08xe;PPR3_08xe;PPR4_08xe;PPR1_09xe;PPR2_09xe;PPR3_09xe;PPR1_10xe;PPR2_10xe;PPR3_10xe;PPR1_11xe;PPR2_11xe;PPR3_11xe;PPR1_12xe;PPR2_12xe;PPR3_12xe;PPR1_13xe;PPR2_13xe;PPR3_13xe;PPR4_13xe;PPR1_14xe;PPR2_14xe;PPR3_14xe;PPR4_14xe;PPR1_15xe;PPR2_15xe;PPR3_15xe;PPR4_15xe;PPR1_16xe;;Foliorente;Produksjonsgap;CPI;CPI-jae;CPI handelspartnere (20). sesongjustert;I44;Arbeidsledighet;BNP Norge. fate priser sesongjuster;BNP Fastlandsnorge. faste priser sesongjunster;K2 husholdningel andel av BNP;K2 husholdninger. chained;Boligprisindeks;Kreditt Gap mot trend ved ensidig HP-filter³;Kreditt Gap mot trend ved utvidet HP-filter²;Kreditt Gap mot snitt siste 10 år;Boligpris Gap mot trend med ensidig HP-filter?;Boligpris Gap mot trend med utvidet HP-filter³;BoligprisGap mot snitt (rekursivt);NæringseiendomGap mot trend ved ensidig HP-filter³;NæringseiendomGap mot trend ved utvidet HP-filter²;NæringseiendomGap mot snitt (rekursivt);Kreditt/GDP (sum k2 husholdninger og k3 ikke-finansielle foretak i FLN) ;Gjeld (endring) husholdninger. firekvartalsvekst. ;Gjeldsvekst;Boligprisvekst
2004-03-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0195;-1.4;-1.399825022;0.092336103;99.44042969;98.172;3.896;554315;426311.0834;86.35156171;1114791.49;91;11.95;8.01;22.39;12.23;8.61;16.57;-10.18;-8.99;-27.72;149.67;11.14;11.10;9.29
2004-06-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.75;-1.2;0.860320285;0.214154412;99.79420114;94.9075;3.892;555922;427331.9494;87.59173884;1148991.738;92.4;12.78;9.22;23.43;11.85;8.04;17.05;-8.92;-7.98;-27.28;151.54;11.72;11.80;11.68
2004-09-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.75;-0.9;1.190178571;0.276581818;100.1365456;96.0518;3.84;552221;434728.3299;88.12739337;1175587.801;92.6;12.56;9.25;23.36;13.22;9.14;19.48;-7.95;-7.25;-27.07;152.36;11.11;11.10;12.22
2004-12-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.75;-0.7;1.244079514;0.859116022;100.620574;93.1074;3.804;557838;439425.9072;88.68801588;1211095.165;93.6;9.34;6.27;20.14;13.74;9.59;21.07;-4.10;-4.18;-24.46;150.01;11.28;11.40;10.40
2005-03-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.75;-0.4;1.005323869;0.73800738;100.9176441;93.6292;3.678;561859;441411.1197;90.04130292;1241191.574;97.5;10.60;7.78;21.36;13.10;9.00;21.43;-3.32;-4.19;-24.27;152.24;11.34;11.50;9.19
2005-06-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.75;-0.1;1.528663544;1.008868875;101.2777064;92.1303;3.571;569193;450786.9725;90.77245651;1285972.421;100.2;10.10;7.68;20.80;11.92;7.92;21.13;9.47;6.53;-14.18;152.69;11.92;12.00;8.94
2005-09-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0.2;1.764711073;1.225555545;101.9520006;90.6859;3.449;572476;451080.2087;92.17683253;1324213.088;101.1;10.58;8.51;21.20;12.02;8.25;22.23;9.52;4.71;-14.06;154.16;12.64;12.70;8.62
2005-12-31;2.2;;;;;;;Rødt indikerer første prognose i banen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.1602;0.5;1.785259758;1.065432335;102.4398712;91.0361;3.294;574215;460938.6712;93.78467009;1373921.033;101.2;14.14;11.71;24.78;13.16;9.54;24.55;30.52;20.99;3.64;158.94;13.44;13.40;9.06
2006-03-31;2.4;2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.86;0.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.6;1.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.2923;0.65;2.226068012;0.915750916;102.7698145;92.8843;2.908;575058;465717.8799;93.43588337;1408613.374;107.5;11.91;9.44;22.47;12.79;9.34;25.23;28.99;16.11;3.60;157.82;13.49;13.50;9.89
2006-06-30;2.6;2.54;2.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.95;0.97;1.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.6;1.25;0.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.5905;1.05;2.374456994;0.787229986;103.3666364;89.8191;2.731;580022;467568.4403;94.95437272;1451950.506;112.8;14.89;12.04;25.46;15.16;11.42;29.14;37.54;21.04;12.28;162.10;12.91;12.90;12.98
2006-09-30;2.8;2.79;2.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.01;1.16;1.37;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.7;1.38;1.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.8731;1.45;2.225728976;0.514986376;103.8767932;92.2183;2.522;584286;471206.3626;95.60223905;1495474.744;116.5;15.80;12.54;26.42;17.26;13.01;32.95;35.26;16.48;12.14;164.40;12.93;12.90;16.00
2006-12-31;3;3.02;3.17;3.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.04;1.27;1.5;2.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.48;2.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.7;1.38;1.2;0.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.1984;2.1;2.500711409;0.842818428;104.1387176;94.7289;2.283;594032;486500.3756;96.34279417;1544184.232;117.9;16.17;12.85;26.87;18.30;13.58;35.70;34.24;15.57;13.04;166.20;12.39;12.40;16.86
2007-03-31;3.1;3.2;3.41;3.51;3.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.02;1.3;1.54;2.15;2.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.49;2.31;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.9;1.65;1.34;1.01;1.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.7266;2.7;1.031220191;1.209618875;104.7447986;93.1477;2.075;590756;489805.7138;95.94429423;1575584.243;125.3;16.14;12.49;26.97;18.11;12.92;37.07;32.10;13.65;12.89;167.62;11.85;11.90;17.15
